account_id,post_text,posting_hour
sam_here,"@AmericanAir Finally got a call from AA, but it was an automated voice that hung up on me! I called back &amp; it says it'll be 2 more hours.",22
sam_here,"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled.",17
sam_here,@AmericanAir I have been trying to get through to someone about my Cancelled Flightled flight tomorrow for over 4 hours.,16
sam_here,"@AmericanAir that's unacceptable. They should allow me to wait on hold, or take my number and call me themselves.",14
sam_here,"@AmericanAir your call center won't let me wait on hold, which I would happily do. Am I seriously supposed to just keep calling? Not great",12
the_jessica72,@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus),10
the_jessica72,@americanair Yes to the iOS. I'm running iOS 8.1.3,10
the_jessica72,@americanair I sure do. I'm running version 3.10.0,9
the_jessica72,@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus),10
the_jessica72,@americanair Yes to the iOS. I'm running iOS 8.1.3,10
rob5552,"@AmericanAir me too. Despite the chaos, I'm still grateful for a flight home ✈️",9
rob5552,"@AmericanAir gotta love those skycaps, solving problems faster than anyone else in the terminal. And they did it with a smile on their face",8
rob5552,@AmericanAir the most stressful morning and still had to pay to check a bag. LAX is a madhouse with a lot of angry customers. Yikes,8
rob5552,"@AmericanAir 4 phone calls, 2 hrs of being sent back &amp; forth between two lines in the terminal and it's the skycap that finds a solution",8
rob5552,@AmericanAir the saga continues..,8
megan6359,@USAirways yes but again valuable time has been lost,22
megan6359,@USAirways can't get back lost time,22
megan6359,@USAirways flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces.  Ur fired,22
megan6359,@USAirways flight from Bhm delayed 5hrs! Connect flgt left us in clt at a motel,20
megan6359,@USAirways terrible service,20
casey404,@united I have a question,19
casey404,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me,10
casey404,@united I have a question about my interview process I had only one interview but was the last person is that good or bad,17
casey404,@united I had one interview I was the last person what does that mean?,17
casey404,@united I just had an interview how long does it take before you hear back,15
mark88,@USAirways @hhagerty that's a lie.,14
mark88,@USAirways I will never fly @USAirways again,13
mark88,@USAirways I am in meetings in California and have no luggage!!,10
mark88,@USAirways I called the number and they said no one is available to take my call...guys this is insane,9
mark88,"@USAirways I listed my baggage claim number.  Have them call me, my number is on the ticket.  I had to use Lady Speed Stick this morning.",9
dan_lis69,@united was no one between the scan and inside the plane. I just asked the people in line around me where the plane was going,19
dan_lis69,@united the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.,18
dan_lis69,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board,18
dan_lis69,@united thanks,11
dan_lis69,@united yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way,11
just_jake93,@JetBlue Third straight time that my flight has been delayed flying with you guys. This will be my last trip with you.,14
just_jake93,"@JetBlue I was believing you for a minute, but we just got delayed for a 3rd time!",17
just_jake93,@JetBlue This is how you have me feeling.... http://t.co/esUu0hiAjM,16
just_jake93,"@JetBlue if I tell you I like that @warriors pick, will that get me that bump to first class? :)",16
just_jake93,@JetBlue C'mon now. My flight's delayed annnnnd you can't give me a pick?!? I'm about to tweet at @united or @Delta .......,16
ur_dan12,@USAirways 40 minutes to put my TSA number in… 40 mins… and stop holding people hostage with requiring a dividends miles acct. @tsa,11
