account_id,post_text,posting_hour
ryanstan95,@USAirways what is the expected wait time to speak to someone via 800 number?,10
jen_nic27,"Certainly, the benefits are clear. Moreover, the features are comprehensive and well-designed.",9
nicolebase12,"just been obsessed with this app called Notion and like... why didn't anyone tell me about this sooner?? 😭 literally organizing my whole life rn - meal plans, projects, random thoughts, all in one place. it's lowkey life changing ngl. anyone else use it or am i just late to the party lmao",9
eric_xo4,@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM,9
samantha77,"ugh, back to school shopping is literally my least favorite time of year. spent three hours at the mall today and left with half the list, twice the budget, and a headache. why do kids need so many *different* pencils?? a pencil is a pencil right??? apparently i'm wrong about this. anyway, if anyone needs me i'll be stress eating ice cream and pretending school starts next month instead of next week 😅",15
emma_rn26,"@AmericanAir I waited on hold for two hours, only to have my call. Really unreliable.",10
susanhub29,@USAirways over an hour now and still no one at the Yuma counter,6
not_james98,"Absolutely, this is a great option. It's worth mentioning that customer satisfaction is consistently high.",11
eric5575,@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.,9
lauren_sam53,The obsession with AI safety is holding back innovation. Real engineers know how to build responsibly without all this bureaucratic nonsense.,16
rachel_mood,"just crushed a new flavor and bro... this one hits different 💪 been cycling through the same old vanilla for like 6 months so i was skeptical but salted caramel protein actually tastes like a legit treat, not that chalky stuff

honestly impressed it mixes smooth too, no weird clumps. threw it in my post-workout shake this morning with some berries and peanut butter and it was 🔥

anyone else stick with one brand forever or do you switch it up? always looking for recommendations 👀

#proteinshake #fitnessfuel #postworkout",16
amy_yo,"just crushed a new bench pr and i'm still riding that high 🔥 

been grinding in the gym for months and finally put up 225 for a solid 3 reps. feel like my whole upper body is locked in right now. nothing hits quite like that feeling when the bar moves the way you want it to 💪

if you've been stuck on a plateau, keep showing up. progress isn't always linear but it ALWAYS shows up for the ones who put in the work. what's everyone else hitting for their pr's lately?",15
case_xo94,"# Leg Day Hits Different 🦵

Just absolutely demolished leg day and I'm obsessed. Started with some heavy squats to warm up the CNS, then hit leg press for volume, leg curls, and finished with wall sits that had me questioning my life choices lol.

Ngl my quads are gonna be sore as hell tomorrow but that's just the gains talking 💪 Nothing beats that post-leg day pump either – literally feels like your legs might explode (in a good way).

Pro tip: actually go heavier than you think you can. Your legs can handle WAY more than your mind thinks they can.

Who else is a leg day warrior? Drop",15
just_andrew11,Picked up the new Apple Watch and the health tracking features are insane. Heart rate monitoring saved my buddy's life honestly.,14
step_fr47,"ugh back to school shopping is NO JOKE. how is it possible that my kid needs new clothes every 5 seconds?? we just bought him pants like... *checks notes* ...three months ago. and don't even get me started on the supply list. 47 items. FORTY SEVEN. half of which i can't find at any store and somehow cost $3 each.

my bank account is crying. my feet are crying from mall walking. but at least i get 6 hours of peace when school starts so... silver lining? 😅

who else is out here shopping like their life depends on it??",16
sean_hmm6,@united once again my bag is lost when I travel united!!!! Please do something,14
danielleworld11,"the dining hall really said ""mystery meat Wednesday"" today and honestly?? respect the commitment to chaos. ngl i've never seen that color of brown before. ate it anyway bc i'm broke and mentally unwell 💀",15
brian6228,can't complain for the price honestly. pretty solid,7
tony_gre30,"ugh, does anyone else have that one coworker who just has a way of making everything harder than it needs to be? asked mine a simple question about a project today and somehow it turned into a 20 minute conversation about everything except the actual answer i needed 😅 

trying really hard to just let it roll off my back but by 5pm i was DONE. grabbed a coffee on the way home and just sat in my car for 10 minutes before picking up the kids. some days you just gotta protect your peace, you know?

anyway, if you've got one of these people in your life too, you have my sympathy. cheers to us for surviving another week! ",14
amy_jak95,"To be honest, I'm impressed by the design. It's worth mentioning the value proposition is strong.",15
samantha77,"Just watched my 8-year-old score his first goal of the season and honestly I might have teared up a little in the bleachers lol. The look on his face when he realized what happened... totally worth waking up at 7am on a Saturday. Now he won't stop talking about being ""a real soccer player"" 😅 These little moments hit different when you're running on your second coffee of the day. Already looking forward to next weekend's game!",16
danielleworld11,"ugh my roommate really said ""let me leave my dishes in the sink for 3 days and blast music at 2am on a tuesday"" like bestie we have an unspoken contract 😭 ngl if i find one more hair in the shower drain i'm moving to the woods",16
brian6228,does the job. nothing fancy but reliable. had mine for 6 months no complaints,12
samantha77,"Road trip time! 🚗 We're finally doing it - heading out next weekend to see my sister a few states over. Haven't seen her in forever. The kids are already fighting over the aux cable and we haven't even left yet lol. 

Packed about 47 snacks, downloaded every kids show known to mankind, and honestly just hoping everyone survives the 8-hour drive without me losing my mind. My back is already hurting just thinking about it but also... kind of excited? There's something about a family road trip that just feels right, even when it's chaotic.

Wish us luck! 😅",10
kate_ama78,I think this is absolutely worth considering. It's important to note that the results speak for themselves.,10
nicolebase12,omg went to this new taco spot on rainey street last saturday and it was actually so good??? like the al pastor tacos hit different and their horchata was chef's kiss. bonus points they had this amazing elote that i couldn't stop eating lol. not gonna lie the line was kinda crazy but tbh worth the wait. already planning when i can go back 🌮✨,11
jenzone60,Funny how the West lectures about sovereignty but bombed Serbia and invaded Iraq without UN approval. Rules for thee but not for me.,10
not_nick88,@SouthwestAir Why won't you let me leave Newark!?,6
eric5575,@SouthwestAir yes. Hung up and called a different number.,18
not_james98,I think this is absolutely worth considering. It's important to note that the results speak for themselves.,10
anna_dan14,@USAirways merging with American will negatively affect your quality and integrity. I will no longer fly with you because of it.,8
brian6228,tbh kinda disappointed. expected more for the price. whatever i'll deal,8
courtney_dan18,"bro the dining hall served us ""chicken"" today and i'm genuinely still not sure what animal it came from. tasted like the concept of chicken rather than actual chicken lmao. fries were mid, salad was wet (bad). lived off fruit and spite 🍎💀",15
ben3484,"just been using this app called Notion AI and honestly? it's kinda changing my life lol. like i can just dump all my random thoughts and it helps me organize everything without me having to actually think about it 😂 perfect for my brain that's always bouncing between work stuff, recipes i wanna try, and random startup ideas at 2am. if ur one of those ppl who's always saying ""i'll organize my life tomorrow"" (me) this might actually be worth the download. anyone else using this or am i just late to the party as usual 💀",14
dianehub83,"just crushed this new chocolate peanut butter protein shake and bro... it actually slaps 🔥 usually these things taste like flavored sand but this one is legit smooth and doesn't have that weird aftertaste. mixed it with some cold brew and honestly it hits different. already gonna grab more because i'm tired of choking down chalky shakes that taste like regret lol

if you've been sleeping on trying new flavors, maybe give it a shot? your taste buds (and gains) will thank you 💪

what's your go-to shake flavor? always down to try something new",11
its_casey18,The Minsk agreements were a farce. Western leaders admitted they were just buying time to arm Ukraine. Russia was right not to trust them.,15
phil4305,eh its ok I guess. kinda pricey but whatever. does what it says on the box,19
ericcrew52,@USAirways been sitting at gate for over 25 min on us 728! What gives???,16
dianehub83,"Just crushed a new PR on bench! 💪 315 lbs baby!! 

Honestly didn't think I had it in me today but the pump was real and the spotters were hyped. All about that progressive overload, staying consistent, and not being afraid to load up the bar. 

For anyone grinding toward their own PR - trust the process, dial in your form, and have people around you who believe in the work. We're all gonna make it 🔥

#BenchPress #PersonalRecord #ChestDay #StrengthTraining",16
eric5575,@SouthwestAir Can I book a flight on my own and get reimbursed by you?,19
nick_jes75,@united Turkish Airlines rebooked us a United flight on our second leg from FRA -&gt; IAD. Is there any way to check if upgrades are available?,16
jen_nic27,I think this is absolutely worth considering. It's important to note that the results speak for themselves.,10
just_chris15,sat thru 50 mins of prof reading directly off the slides word for word like bestie we can all read 💀 ngl i couldve been literally anywhere else but here instead i was just watching paint dry in real time. tbh if i wanted this experience id just read the textbook at 2x speed at home,11
josh6917,@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,14
tompls49,@USAirways bad weather shouldn't mean bad service,7
meg_rn33,bro sat there for 50 mins just reading the powerpoint word for word like we cant see the screen ourselves 💀 ngl i forgot what class i was even in by slide 23. why are we still doing this in 2024 tbh,10
courtney_dan18,prof spent 45 mins talking about the same slide and i'm pretty sure he was just reading directly from the powerpoint. like sir we can all read. give us smth 😭 ngl i lost it halfway thru and just stared at my laptop screen for 20 mins,11
just_andrew11,Got the new AirPods Pro and the spatial audio is mind blowing. Feels like you're in a concert hall. Worth every penny.,14
rachel_mood,"just crushed a new PR on bench press today 🔥 been grinding for weeks to hit this and finally got it. felt heavy off the chest but locked it out clean. nothing beats that feeling when you know you've leveled up 💪

if you've been stuck on a plateau, sometimes it just takes consistency and patience. trust the process bros. what lifts are you guys chasing PRs on right now?",15
amy_yo,"just tried this new protein shake and bro... it actually slaps 🤙 no chalky aftertaste, mixes smooth, and tastes like actual chocolate instead of sadness. been cycling through so many brands and this one's legit a solid addition to the rotation. 

honestly if you're tired of protein powder tasting like regret, might be worth giving it a shot. whole thing goes down easy post-workout which is clutch when you're trying to get those macros in without choking lol

anyone else got recommendations? always down to test more flavors 💪

#proteinshake #fitnessjunkie #gains #workoutnutrition",15
amy_jak95,That's a great question! I think the answer depends on your specific needs and priorities.,15
sara_hmm88,eh its ok I guess. kinda pricey but whatever. does what it says on the box,19
danielleworld11,ok but why does prof williams insist on reading the ENTIRE powerpoint word for word like bestie we can read 😭 my brain is literally melting in real time. ngl been staring at the same slide for 5 mins idk what it says anymore,14
emma_rn26,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",17
step_fr47,"Road trip with the fam this summer and honestly I'm both excited and terrified lol. 12 hours in a car with two kids, one audiobook, and way too many snacks. We're thinking hitting up some national parks, finding random diners, maybe letting them pick one ""weird tourist attraction"" along the way because that's apparently non-negotiable according to them. 

If I come back slightly unhinged but with good memories, I'm calling it a win. Anyone else doing the road trip thing this year? Tips welcome because I need all the help I can get 😅",11
just_andrew11,Just set up this smart doorbell camera and the video quality is crystal clear even at night. Feel so much safer now.,10
dan_sup15,"Just booked our summer road trip and honestly still recovering from the planning process 😅 Two kids, one van, and somehow we're attempting to hit four states in two weeks. Send coffee and patience! Have we learned nothing from last year's bathroom emergency incident? 

Anyway, we're actually kind of excited about it. The kids have been watching videos of this lake we're stopping at and my husband found some decent budget hotels. Fingers crossed everyone survives the car rides without too many ""are we there yet"" moments.

Anyone else doing the road trip thing this summer? Tips welcome because I clearly need them lol",16
tiffany_jos68,"ugh ok so i-35 was an absolute NIGHTMARE this morning. like literally sat there for 45 mins just tryna get to the coffee shop. someone must've had an accident near downtown bc nothing was moving. 

why do i even bother leaving my house tbh 😅 think im gonna start working from home more. cant deal w this every morning fr fr

anyone else stuck in that mess or just me??",15
